Id	CanteenDownloadRequestId	MachineId	SelectionName	ProductId	Need	ExtraSystem	Extra	
=10220	=160	=1074059	=1	=13	=0	=0	[NULL]	
=10221	=160	=1074059	=2	=12	=0	=0	[NULL]	
=10222	=160	=1074059	=3	=37	=0	=0	[NULL]	
=10223	=160	=1074059	=4	=14	=0	=0	[NULL]	
=10224	=160	=1074059	=5	=18	=0	=0	[NULL]	
=10225	=160	=1074059	=6	=13	=0	=0	[NULL]	
=10226	=160	=1074059	=7	=595	=0	=0	[NULL]	
=10227	=160	=1074059	=8	=505	=0	=0	[NULL]	
=10228	=160	=1074059	=9	=16	=0	=0	[NULL]	
=10229	=160	=1078282	=1	=133	=0	=0	[NULL]	
=10230	=160	=1078282	=2	=133	=0	=0	[NULL]	
=10231	=160	=1078282	=3	=115	=0	=0	[NULL]	
=10232	=160	=1078282	=4	=113	=0	=0	[NULL]	
=10233	=160	=1078282	=5	=129	=0	=0	[NULL]	
=10234	=160	=1078282	=6	=129	=0	=0	[NULL]	
=10235	=160	=1078282	=7	=652	=0	=0	[NULL]	
=10236	=160	=1078282	=8	=730	=0	=0	[NULL]	
=10237	=160	=1078282	=9	=730	=0	=0	[NULL]	
=10238	=160	=1078283	=1	=133	=0	=0	[NULL]	
=10239	=160	=1078283	=2	=115	=0	=0	[NULL]	
=10240	=160	=1078283	=3	=130	=0	=0	[NULL]	
=10241	=160	=1078283	=4	=113	=0	=0	[NULL]	
=10242	=160	=1078283	=5	=129	=0	=0	[NULL]	
=10243	=160	=1078283	=6	=129	=0	=0	[NULL]	
=10244	=160	=1078283	=7	=130	=0	=0	[NULL]	
=10245	=160	=1078283	=8	=139	=0	=0	[NULL]	
=10246	=160	=1078283	=9	=652	=0	=0	[NULL]	
=10247	=160	=1078284	=1	=105	=0	=0	[NULL]	
=10248	=160	=1078284	=2	=110	=0	=0	[NULL]	
=10249	=160	=1078284	=3	=104	=0	=0	[NULL]	
=10250	=160	=1078284	=4	=140	=0	=0	[NULL]	
=10251	=160	=1078284	=5	=108	=0	=0	[NULL]	
=10252	=160	=1078284	=6	=104	=0	=0	[NULL]	
=10253	=160	=1078284	=7	=541	=0	=0	[NULL]	
=10254	=160	=1078284	=8	=255	=0	=0	[NULL]	
=10255	=160	=1078285	=A0	=383	=0	=0	[NULL]	
=10256	=160	=1078285	=A2	=355	=0	=0	[NULL]	
=10257	=160	=1078285	=A4	=367	=0	=0	[NULL]	
=10258	=160	=1078285	=A6	=720	=0	=0	[NULL]	
=10259	=160	=1078285	=A8	=6488	=0	=0	[NULL]	
=10260	=160	=1078285	=B0	=4800	=0	=0	[NULL]	
=10261	=160	=1078285	=B2	=6487	=0	=0	[NULL]	
=10262	=160	=1078285	=B4	=906	=0	=0	[NULL]	
=10263	=160	=1078285	=B6	=366	=0	=0	[NULL]	
=10264	=160	=1078285	=B8	=878	=0	=0	[NULL]	
=10265	=160	=1078285	=C0	=948	=0	=0	[NULL]	
=10266	=160	=1078285	=C2	=1119	=0	=0	[NULL]	
=10267	=160	=1078285	=C4	=5569	=0	=0	[NULL]	
=10268	=160	=1078285	=C6	=356	=0	=0	[NULL]	
=10269	=160	=1078285	=C8	=4789	=0	=0	[NULL]	
=10270	=160	=1078285	=D0	=490	=0	=0	[NULL]	
=10271	=160	=1078285	=D2	=215	=0	=0	[NULL]	
=10272	=160	=1078285	=D4	=235	=0	=0	[NULL]	
=10273	=160	=1078285	=D6	=458	=0	=0	[NULL]	
=10274	=160	=1078285	=D8	=3904	=0	=0	[NULL]	
=10275	=160	=1078285	=E0	=5147	=0	=0	[NULL]	
=10276	=160	=1078285	=E1	=465	=0	=0	[NULL]	
=10277	=160	=1078285	=E2	=1633	=0	=0	[NULL]	
=10278	=160	=1078285	=E3	=5155	=0	=0	[NULL]	
=10279	=160	=1078285	=E4	=190	=0	=0	[NULL]	
=10280	=160	=1078285	=E5	=175	=0	=0	[NULL]	
=10281	=160	=1078285	=E6	=469	=0	=0	[NULL]	
=10282	=160	=1078285	=E7	=467	=0	=0	[NULL]	
=10283	=160	=1078285	=E8	=231	=0	=0	[NULL]	
=10284	=160	=1078285	=E9	=213	=0	=0	[NULL]	
=10285	=160	=1078285	=F0	=737	=0	=0	[NULL]	
=10286	=160	=1078285	=F2	=83	=0	=0	[NULL]	
=10287	=160	=1078285	=F4	=812	=0	=0	[NULL]	
=10288	=160	=1078285	=F6	=1237	=0	=0	[NULL]	
=10289	=160	=1078285	=F8	=635	=0	=0	[NULL]	
=10290	=160	=1078285	=H0	=899	=0	=0	[NULL]	
=10291	=160	=1078285	=H1	=937	=0	=0	[NULL]	
=10292	=160	=1078285	=H2	=882	=0	=0	[NULL]	
=10293	=160	=1078285	=H3	=624	=0	=0	[NULL]	
=10294	=160	=1078285	=H4	=1166	=0	=0	[NULL]	
=10295	=160	=1082249	=1	=105	=0	=0	[NULL]	
=10296	=160	=1082249	=2	=110	=0	=0	[NULL]	
=10297	=160	=1082249	=3	=140	=0	=0	[NULL]	
=10298	=160	=1082249	=4	=140	=0	=0	[NULL]	
=10299	=160	=1082249	=5	=108	=0	=0	[NULL]	
=10300	=160	=1082249	=6	=105	=0	=0	[NULL]	
=10301	=160	=1082249	=7	=2552	=0	=0	[NULL]	
=10302	=160	=1082249	=8	=255	=0	=0	[NULL]	
=10303	=160	=1124066	=A0	=383	=0	=0	[NULL]	
=10304	=160	=1124066	=A2	=355	=0	=0	[NULL]	
=10305	=160	=1124066	=A4	=367	=0	=0	[NULL]	
=10306	=160	=1124066	=A6	=720	=0	=0	[NULL]	
=10307	=160	=1124066	=A8	=6488	=0	=0	[NULL]	
=10308	=160	=1124066	=B0	=5569	=0	=0	[NULL]	
=10309	=160	=1124066	=B2	=366	=0	=0	[NULL]	
=10310	=160	=1124066	=B4	=906	=0	=0	[NULL]	
=10311	=160	=1124066	=B6	=948	=0	=0	[NULL]	
=10312	=160	=1124066	=B8	=878	=0	=0	[NULL]	
=10313	=160	=1124066	=C0	=4800	=0	=0	[NULL]	
=10314	=160	=1124066	=C2	=1119	=0	=0	[NULL]	
=10315	=160	=1124066	=C4	=6487	=0	=0	[NULL]	
=10316	=160	=1124066	=C6	=356	=0	=0	[NULL]	
=10317	=160	=1124066	=C8	=4789	=0	=0	[NULL]	
=10318	=160	=1124066	=D0	=490	=0	=0	[NULL]	
=10319	=160	=1124066	=D1	=215	=0	=0	[NULL]	
=10320	=160	=1124066	=D2	=235	=0	=0	[NULL]	
=10321	=160	=1124066	=D3	=458	=0	=0	[NULL]	
=10322	=160	=1124066	=D4	=217	=0	=0	[NULL]	
=10323	=160	=1124066	=D5	=223	=0	=0	[NULL]	
=10324	=160	=1124066	=D6	=190	=0	=0	[NULL]	
=10325	=160	=1124066	=D7	=804	=0	=0	[NULL]	
=10326	=160	=1124066	=D8	=903	=0	=0	[NULL]	
=10327	=160	=1124066	=D9	=876	=0	=0	[NULL]	
=10328	=160	=1124066	=E0	=5147	=0	=0	[NULL]	
=10329	=160	=1124066	=E1	=465	=0	=0	[NULL]	
=10330	=160	=1124066	=E2	=1633	=0	=0	[NULL]	
=10331	=160	=1124066	=E3	=5155	=0	=0	[NULL]	
=10332	=160	=1124066	=E4	=469	=0	=0	[NULL]	
=10333	=160	=1124066	=E5	=175	=0	=0	[NULL]	
=10334	=160	=1124066	=E6	=231	=0	=0	[NULL]	
=10335	=160	=1124066	=E7	=467	=0	=0	[NULL]	
=10336	=160	=1124066	=E8	=217	=0	=0	[NULL]	
=10337	=160	=1124066	=E9	=3904	=0	=0	[NULL]	
=10338	=160	=1124066	=F0	=737	=0	=0	[NULL]	
=10339	=160	=1124066	=F2	=83	=0	=0	[NULL]	
=10340	=160	=1124066	=F4	=812	=0	=0	[NULL]	
=10341	=160	=1124066	=F6	=1237	=0	=0	[NULL]	
=10342	=160	=1124066	=F8	=635	=0	=0	[NULL]	
=10343	=160	=1124066	=H0	=899	=0	=0	[NULL]	
=10344	=160	=1124066	=H1	=937	=0	=0	[NULL]	
=10345	=160	=1124066	=H2	=882	=0	=0	[NULL]	
=10346	=160	=1124066	=H3	=624	=0	=0	[NULL]	
=10347	=160	=1124066	=H4	=1166	=0	=0	[NULL]	
=10348	=160	=1139780	=A1	=587	=0	=0	[NULL]	
=10349	=160	=1139780	=A2	=587	=0	=0	[NULL]	
=10350	=160	=1139780	=A3	=587	=0	=0	[NULL]	
=10351	=160	=1139780	=A4	=587	=0	=0	[NULL]	
=10352	=160	=1139780	=A5	=587	=0	=0	[NULL]	
=10353	=160	=1139780	=A6	=587	=0	=0	[NULL]	
=10354	=160	=1139780	=A7	=778	=0	=0	[NULL]	
=10355	=160	=1139780	=A8	=778	=0	=0	[NULL]	
=10356	=160	=1139780	=A9	=778	=0	=0	[NULL]	
=10357	=160	=1139780	=B1	=594	=0	=0	[NULL]	
=10358	=160	=1139780	=B2	=594	=0	=0	[NULL]	
=10359	=160	=1139780	=B3	=594	=0	=0	[NULL]	
=10360	=160	=1139780	=B4	=594	=0	=0	[NULL]	
=10361	=160	=1139780	=B5	=594	=0	=0	[NULL]	
=10362	=160	=1139780	=B6	=594	=0	=0	[NULL]	
=10363	=160	=1139780	=B7	=691	=0	=0	[NULL]	
=10364	=160	=1139780	=B8	=691	=0	=0	[NULL]	
=10365	=160	=1139780	=B9	=691	=0	=0	[NULL]	
=10366	=160	=1139780	=C1	=500	=0	=0	[NULL]	
=10367	=160	=1139780	=C2	=500	=0	=0	[NULL]	
=10368	=160	=1139780	=C3	=500	=0	=0	[NULL]	
=10369	=160	=1139780	=C4	=501	=0	=0	[NULL]	
=10370	=160	=1139780	=C5	=501	=0	=0	[NULL]	
=10371	=160	=1139780	=C6	=501	=0	=0	[NULL]	
=10372	=160	=1139780	=C7	=499	=0	=0	[NULL]	
=10373	=160	=1139780	=C8	=499	=0	=0	[NULL]	
=10374	=160	=1139780	=C9	=499	=0	=0	[NULL]	
=10375	=160	=1139780	=D1	=252	=0	=0	[NULL]	
=10376	=160	=1139780	=D2	=252	=0	=0	[NULL]	
=10377	=160	=1139780	=D3	=252	=0	=0	[NULL]	
=10378	=160	=1139780	=D4	=252	=0	=0	[NULL]	
=10379	=160	=1139780	=D5	=252	=0	=0	[NULL]	
=10380	=160	=1139780	=D6	=113	=0	=0	[NULL]	
=10381	=160	=1139780	=D7	=113	=0	=0	[NULL]	
=10382	=160	=1139780	=D8	=113	=0	=0	[NULL]	
=10383	=160	=1139780	=D9	=113	=0	=0	[NULL]	
=10384	=160	=1139780	=E1	=1148	=0	=0	[NULL]	
=10385	=160	=1139780	=E2	=1148	=0	=0	[NULL]	
=10386	=160	=1139780	=E3	=1148	=0	=0	[NULL]	
=10387	=160	=1139780	=E4	=1148	=0	=0	[NULL]	
=10388	=160	=1139780	=E5	=1148	=0	=0	[NULL]	
